date,GDP,SA Series
2005m2,1378783,74594.50451
2005m3,1374077,73410.08396
2005m4,1384207,73017.44935
2005m5,1390062,73900.64222
2005m6,1394154,74345.30064
2005m7,1397646,74418.00673
2005m8,1402812,74148.75315
2005m9,1403844,73909.03798
2005m10,1408406,73809.94014
2005m11,1415941,73554.79737
2005m12,1423236,73485.14147
2006m1,1426499,73904.2524
2006m2,1429581,75681.21163
2006m3,1432781,76051.75097
2006m4,1433056,76223.17476
2006m5,1433715,76103.42842
2006m6,1431494,75856.42599
2006m7,1434342,75785.95356
2006m8,1435711,75527.1533
2006m9,1434067,75242.65416
2006m10,1436868,75309.5293
2006m11,1440654,75342.27387
2006m12,1450451,75075.40546
2007m1,1448187,75720.39904
2007m2,1454974,76097.78499
2007m3,1457841,76170.93596
2007m4,1459692,76172.54063
2007m5,1464184,77879.02203
2007m6,1468020,78435.40071
2007m7,1468745,78656.38792
2007m8,1476172,78160.68848
2007m9,1475654,78002.28848
2007m10,1475279,77996.67198
2007m11,1478335,77951.80833
2007m12,1473209,77998.5759
2008m1,1479314,78722.65032
2008m2,1475941,78195.57934
2008m3,1478793,77967.83571
2008m4,1482674,78017.91549
2008m5,1482170,78594.29181
2008m6,1486280,78849.23576
2008m7,1492906,78922.30953
2008m8,1490518,78256.93708
2008m9,1491310,78280.41866
2008m10,1492168,78319.25522
2008m11,1476661,78182.48885
2008m12,1456237,78199.45511
2009m1,1449609,78758.02908
2009m2,1441717,78030.03853
2009m3,1431062,77798.76336
2009m4,1427481,77752.51838
2009m5,1425246,78374.76496
2009m6,1428798,78696.90359
2009m7,1431410,78755.91435
2009m8,1430383,79083.48438
2009m9,1441215,79251.60591
2009m10,1443774,79275.91036
2009m11,1452669,79780.95828
2009m12,1456248,79709.97148
2010m1,1465388,80628.93874
2010m2,1472653,81862.04617
2010m3,1480485,82627.07052
2010m4,1479348,82654.80878
2010m5,1485823,82086.6725
2010m6,1488406,81797.15081
2010m7,1488617,81546.26248
2010m8,1493504,81771.85491
2010m9,1493372,81807.39062
2010m10,1499793,81764.89567
2010m11,1506896,82295.81494
2010m12,1516427,82474.05903
2011m1,1521926,82893.32482
2011m2,1519254,82746.72221
2011m3,1524479,82647.59498
2011m4,1523180,82575.812
2011m5,1518546,81615.41942
2011m6,1524168,81377.93216
2011m7,1533855,81424.55411
2011m8,1542312,81726.08874
2011m9,1547602,81770.91419
2011m10,1548345,81777.33124
2011m11,1550199,81559.24573
2011m12,1559414,81408.78142
2012m1,1559810,82002.90511
2012m2,1555968,83731.44369
2012m3,1557835,84256.42508
2012m4,1563656,84337.29638
2012m5,1564378,83505.06955
2012m6,1565005,83195.55009
2012m7,1568613,83126.94793
2012m8,1567115,83626.68641
2012m9,1567117,83864.22602
2012m10,1568911,83740.38503
2012m11,1575246,83719.36668
2012m12,1573486,83755.37192
2013m1,1581334,84506.6413
2013m2,1585384,84050.33007
2013m3,1590775,83988.41354
2013m4,1592341,84072.27013
2013m5,1595427,83052.36924
2013m6,1589572,82689.09931
2013m7,1599653,82632.76754
2013m8,1602538,82889.20779
2013m9,1606768,83052.41916
2013m10,1613907,83190.69904
2013m11,1616979,82912.9302
2013m12,1610130,83157.75296
2014m1,1613255,83885.14416
2014m2,1620806,84020.33886
2014m3,1623389,84091.12592
2014m4,1626952,84186.2141
2014m5,1634643,83898.31986
2014m6,1641669,83767.00094
2014m7,1642817,83740.89586
2014m8,1641455,83819.14576
2014m9,1648485,83829.04483
2014m10,1654092,83825.38202
2014m11,1650612,83710.31574
2014m12,1656445,83745.48526
2015m1,1652337,84178.81039
2015m2,1650031,82289.60553
2015m3,1646543,81766.13398
2015m4,1645610,81556.71638
2015m5,1642118,81470.97369
2015m6,1649021,81402.50529
2015m7,1653505,81415.57806
2015m8,,